Sensor,UTM_Easting,UTM_Northing,Distance,Elevation,Start Time,End Time,Duration
C01,691690.569741571,2332227.7733053924,0.0,-24.7861266197825,2018-06-24 21:00:00,2018-09-18 21:00:00,2064.0
C02,691649.2999103746,2332443.9966670214,216.2233616290614,-16.74743033599622,2018-06-24 21:00:00,2018-09-18 21:00:00,2064.0
C04,691653.5897663608,2332549.1305817734,321.3572763809934,-8.576709874046088,2018-06-24 21:00:00,2018-09-03 02:00:00,1685.0
C05,691653.1343433671,2332570.496488991,342.723183598835,-6.933797466449869,2018-06-24 21:00:00,2018-09-18 21:00:00,2064.0
C06,691650.4942267352,2332601.027798556,373.2544931634329,-5.184982184161263,2018-06-24 21:00:00,2018-08-16 10:00:00,1261.0
C09,691648.8983098438,2332675.9745534896,448.2012480972335,-7.386091574582637,2018-06-24 21:00:00,2018-09-18 21:00:00,2064.0
C10,691651.4062046136,2332719.631841593,491.8585362005979,-4.578355573335779,2018-06-24 21:00:00,2018-08-15 14:00:00,1241.0
C11,691649.6448595059,2332728.137759929,500.3644545366988,-3.787843417116113,2018-06-24 21:00:00,2018-08-10 18:00:00,1125.0
C12,691646.605773407,2332766.1941945227,538.4208891303279,-2.816314047133301,2018-06-24 21:00:00,2018-08-11 02:00:00,1133.0
C13,691653.4765557675,2332801.043522505,573.2702171127312,-2.0409461825261053,2018-06-24 21:00:00,2018-08-11 10:00:00,1141.0
C14,691647.7140297117,2332831.9815787096,604.2082733171992,-1.4392831863270454,2018-06-24 21:00:00,2018-08-14 11:00:00,1214.0
C16,691647.7690508813,2332898.974810049,671.2015046565793,-1.873183348676984,2018-06-24 21:00:00,2018-08-20 08:00:00,1355.0
C17,691650.1870609592,2332941.413022736,713.639717343729,-2.340674026992004,2018-06-24 21:00:00,2018-08-15 06:00:00,1233.0
C18,691651.3787083776,2332973.096063046,745.3227576534264,-1.3984844655904536,2018-06-24 21:00:00,2018-09-18 21:00:00,2064.0
C19,691644.6552763565,2333042.1146467864,814.3413413939998,-0.960254599292394,2018-06-24 21:00:00,2018-08-14 13:00:00,1216.0
C21,691639.2567954116,2333176.148032018,948.374726625625,-0.958670949317145,2018-06-24 21:00:00,2018-09-18 21:00:00,2064.0
C22,691645.4511305782,2333251.406582124,1023.6332767317072,-1.2228543699885148,2018-06-24 21:00:00,2018-09-18 21:00:00,2064.0
C23,691641.4830476836,2333342.7141682967,1114.9408629043028,-0.9327244114410892,2018-06-24 21:00:00,2018-09-18 21:00:00,2064.0
C24,691640.1856925049,2333436.710276848,1208.9369714558125,-0.8751770238548406,2018-06-24 21:00:00,2018-09-18 21:00:00,2064.0
