Time	gauge_0	gauge_1	gauge_2	gauge_3	gauge_4	gauge_5	gauge_6	gauge_7	gauge_8	gauge_9	gauge_10
-1	400	455	510	565	620	675	730	785	840	895	950
-2	-9.69	-9.69	-9.43659	-9.63161	-9	-6.25	-3.5	-2.5	-2.5	-2.5	-2.5
-3	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
0.01980061375	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.94844
0.03750901153	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.94844
0.06023021824	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.94845
0.08033196448	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.94846
0.09908508456	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.94846
0.1212057558	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.94847
0.1382280178	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.97	1.94848
0.1588261018	1.97	1.97	1.97	1.97	1.97	1.97	1.96999	1.97	1.97	1.97	1.94849
0.1788917207	1.97	1.97	1.97	1.97	1.97	1.97	1.96999	1.97	1.97	1.97	1.9485
0.1985645582	1.97	1.97	1.97	1.97	1.97	1.97	1.96999	1.97	1.97	1.97	1.94851
0.2217988299	1.97	1.97	1.97	1.97	1.97	1.97	1.96999	1.97	1.97	1.97	1.94852
0.2410079583	1.97	1.97	1.97	1.97	1.97	1.97	1.96999	1.97	1.97	1.97	1.94853
0.2602823215	1.97	1.97	1.97	1.97	1.97	1.97	1.96998	1.97	1.97	1.97	1.94853
0.2798109896	1.97	1.97	1.97	1.97	1.97	1.97	1.96998	1.97	1.97	1.97	1.94854
0.2994707227	1.97	1.97	1.97	1.97	1.97	1.97	1.96998	1.97	1.97	1.97	1.94855
0.318894539	1.97	1.97	1.97	1.97	1.97	1.97	1.96998	1.97	1.97	1.97	1.94855
0.3381610774	1.97	1.97	1.97	1.97	1.97	1.97	1.96997	1.97	1.97	1.97	1.94856
0.3612809235	1.97	1.97	1.97	1.97	1.97	1.97	1.96997	1.97	1.97	1.97	1.94856
0.3805474619	1.97	1.97	1.97	1.97	1.97	1.97	1.96997	1.97	1.97	1.97	1.94856
0.3996763822	1.97	1.97	1.97	1.97	1.97	1.97	1.96996	1.97	1.97	1.97	1.94856
0.4182548299	1.97	1.97	1.97	1.97	1.97	1.97	1.96996	1.97	1.97	1.97	1.94856
0.4405489672	1.97	1.97	1.97	1.97	1.97	1.97	1.96996	1.97	1.97	1.97	1.94856
0.459127415	1.97	1.97	1.97	1.97	1.97	1.97	1.96995	1.97	1.97	1.97	1.94856
0.4814215523	1.97	1.97	1.97	1.97	1.97	1.97	1.96995	1.97	1.97	1.97	1.94856
0.5	1.97	1.97	1.97	1.97	1.97	1.97	1.96995	1.97	1.97	1.97	1.94855
0.5203827809	1.97	1.97	1.97	1.97	1.97	1.97	1.96994	1.97	1.97	1.97	1.94855
0.5401811518	1.97	1.97	1.97	1.97	1.97	1.97	1.96994	1.97	1.97	1.97	1.94855
0.5598445372	1.97	1.97	1.97	1.97	1.97	1.97	1.96993	1.97	1.97	1.97	1.94854
0.5794772276	1.97	1.97	1.97	1.97	1.97	1.97	1.96993	1.97	1.97	1.97	1.94854
0.5987355156	1.97	1.97	1.97	1.97	1.97	1.97	1.96992	1.97	1.97	1.97	1.94854
0.6207497574	1.97	1.97	1.97	1.97	1.97	1.97	1.96992	1.97	1.97	1.97	1.94854
0.6392727379	1.97	1.97	1.97	1.97	1.97	1.97	1.96991	1.97	1.97	1.97	1.94854
0.6604884603	1.97	1.97	1.97	1.97	1.97	1.97	1.96991	1.97	1.97	1.97	1.94854
0.6812801314	1.97	1.97	1.97	1.97	1.97	1.97	1.9699	1.97	1.97	1.97	1.94855
0.698742362	1.97	1.97	1.97	1.97	1.97	1.97	1.9699	1.97	1.97	1.97	1.94856
0.7186325498	1.97	1.97	1.97	1.97	1.97	1.97	1.96989	1.97	1.97	1.97	1.94857
0.7408053737	1.97	1.97	1.97	1.97	1.97	1.97	1.96988	1.97	1.97	1.97	1.94858
0.7600161982	1.97	1.97	1.97	1.97	1.97	1.97	1.96988	1.97	1.97	1.97	1.9486
0.7791058188	1.97	1.97	1.97	1.97	1.97	1.97	1.96987	1.97	1.97	1.97	1.94862
0.8009225281	1.97	1.97	1.97	1.97	1.97	1.97	1.96987	1.97	1.97	1.97	1.94864
0.8200121487	1.96999	1.97	1.97	1.97	1.97	1.97	1.96986	1.97	1.97	1.97	1.94866
0.8391017693	1.96999	1.97	1.97	1.97	1.97	1.97	1.96986	1.97	1.97	1.97	1.94869
0.8609184785	1.96999	1.97	1.97	1.97	1.97	1.97	1.96985	1.97	1.97	1.97	1.94872
0.8800080991	1.96999	1.97	1.97	1.97	1.97	1.97	1.96984	1.97	1.97	1.97	1.94875
0.8990977197	1.96999	1.97	1.97	1.97	1.97	1.97	1.96984	1.97	1.97	1.97	1.94879
0.920914429	1.96999	1.97	1.97	1.97	1.97	1.97	1.96983	1.97	1.97	1.97	1.94883
0.9400040496	1.96999	1.97	1.97	1.97	1.97	1.97	1.96982	1.97	1.97	1.97	1.94887
0.9590936702	1.96999	1.97	1.97	1.97	1.97	1.97	1.96982	1.97	1.97	1.97	1.94891
0.9809103794	1.96999	1.97	1.97	1.97	1.97	1.97	1.96981	1.97	1.97	1.97	1.94897
1	1.96999	1.97	1.97	1.97	1.97	1.97	1.9698	1.97	1.97	1.97	1.94902
1.019186739	1.96999	1.97	1.97	1.97	1.97	1.97	1.9698	1.97	1.97	1.97	1.94907
1.041311039	1.96999	1.97	1.97	1.97	1.97	1.97	1.96979	1.97	1.97	1.97	1.94914
1.06071909	1.96999	1.97	1.97	1.97	1.97	1.97	1.96978	1.97	1.97	1.97	1.9492
1.079850635	1.96999	1.97	1.97	1.97	1.97	1.97	1.96978	1.97	1.97	1.97	1.94926
1.098754256	1.96999	1.97	1.97	1.97	1.97	1.97	1.96977	1.97	1.97	1.97	1.94932
1.120188479	1.96999	1.97	1.97	1.97	1.97	1.97	1.96976	1.97	1.97	1.97	1.9494
1.138798566	1.96999	1.97	1.97	1.97	1.97	1.97	1.96976	1.97	1.97	1.97	1.94947
1.160045709	1.96999	1.97	1.97	1.97	1.97	1.97	1.96975	1.97	1.97	1.97	1.94955
1.181292852	1.96999	1.97	1.97	1.97	1.97	1.97	1.96974	1.97	1.97	1.97	1.94963
1.199907606	1.96999	1.97	1.97	1.97	1.97	1.97	1.96974	1.97	1.97	1.97	1.94971
1.218663381	1.96999	1.97	1.97	1.97	1.97	1.97	1.96973	1.97	1.97	1.97	1.94978
1.240098552	1.96998	1.97	1.97	1.97	1.97	1.97	1.96972	1.97	1.97	1.97	1.94987
1.258854326	1.96998	1.97	1.97	1.97	1.97	1.97	1.96972	1.97	1.97	1.97	1.94995
1.280104711	1.96998	1.97	1.97	1.97	1.97	1.97	1.96971	1.97	1.97	1.97	1.95004
1.300431167	1.96998	1.97	1.97	1.97	1.97	1.97	1.9697	1.97	1.97	1.97	1.95013
1.319950683	1.96998	1.97	1.97	1.97	1.97	1.97	1.9697	1.97	1.97	1.97	1.95021
1.34110492	1.96998	1.97	1.97	1.97	1.97	1.97	1.96969	1.97	1.97	1.97	1.9503
1.359254534	1.96998	1.97	1.97	1.97	1.97	1.97	1.96968	1.97	1.97	1.97	1.95038
1.379033003	1.96998	1.97	1.97	1.97	1.97	1.97	1.96968	1.97	1.97	1.97	1.95046
1.40038971	1.96998	1.97	1.97	1.97	1.97	1.97	1.96967	1.97	1.97	1.97	1.95056
1.419103277	1.96998	1.97	1.97	1.97	1.97	1.97	1.96967	1.97	1.97	1.97	1.95064
1.439367348	1.96998	1.97	1.97	1.97	1.97	1.97	1.96966	1.97	1.97	1.97	1.95073
1.459578232	1.96998	1.97	1.97	1.97	1.97	1.97	1.96965	1.97	1.97	1.97	1.95081
1.479789116	1.96998	1.97	1.97	1.97	1.97	1.97	1.96965	1.97	1.97	1.97	1.9509
1.5	1.96998	1.97	1.97	1.97	1.97	1.97	1.96964	1.97	1.97	1.97	1.95099
1.519379845	1.96998	1.97	1.97	1.97	1.97	1.97	1.96964	1.97	1.97	1.97	1.95108
1.540650413	1.96998	1.97	1.97	1.97	1.97	1.97	1.96963	1.97	1.97	1.97	1.95117
1.560032252	1.96998	1.97	1.97	1.97	1.97	1.97	1.96963	1.97	1.97	1.97	1.95126
1.579474931	1.96998	1.97	1.97	1.97	1.97	1.97	1.96962	1.97	1.97	1.97	1.95135
1.599063177	1.96998	1.97	1.97	1.97	1.97	1.97	1.96962	1.97	1.97	1.97	1.95143
1.620820708	1.96998	1.97	1.97	1.97	1.97	1.97	1.96961	1.97	1.97	1.97	1.95153
1.640864532	1.96998	1.97	1.97	1.97	1.97	1.97	1.96961	1.97	1.97	1.97	1.95162
1.65913958	1.96998	1.97	1.97	1.97	1.97	1.97	1.9696	1.97	1.97	1.97	1.9517
1.679776352	1.96998	1.97	1.97	1.97	1.97	1.97	1.9696	1.97	1.97	1.97	1.95179
1.700779249	1.96998	1.97	1.97	1.97	1.97	1.97	1.9696	1.97	1.97	1.97	1.95188
1.720019603	1.96998	1.97	1.97	1.97	1.97	1.97	1.96959	1.97	1.97	1.97	1.95196
1.739626441	1.96998	1.97	1.97	1.97	1.97	1.97	1.96959	1.97	1.97	1.97	1.95205
1.759642418	1.96998	1.97	1.97	1.97	1.97	1.97	1.96959	1.97	1.97	1.97	1.95213
1.780056891	1.96998	1.97	1.97	1.97	1.97	1.97	1.96958	1.97	1.97	1.97	1.95222
1.800849004	1.96999	1.97	1.97	1.97	1.97	1.97	1.96958	1.97	1.97	1.97	1.9523
1.818999499	1.96999	1.97	1.97	1.97	1.97	1.97	1.96958	1.97001	1.97	1.97	1.95237
1.84106015	1.96999	1.97	1.97	1.97	1.97	1.97	1.96958	1.97001	1.97	1.97	1.95246
1.860411751	1.96999	1.97	1.97	1.97	1.97	1.97	1.96958	1.97001	1.97	1.97	1.95253
1.879376013	1.96999	1.97	1.97	1.97	1.97	1.97	1.96957	1.97001	1.97	1.97	1.9526
1.900053268	1.96999	1.97	1.97	1.97	1.97	1.97	1.96957	1.97001	1.97	1.97	1.95267
1.92045056	1.96999	1.97	1.97	1.97	1.97	1.97	1.96957	1.97001	1.97	1.97	1.95274
1.940377146	1.97	1.97	1.97	1.97	1.97	1.97	1.96957	1.97001	1.97	1.97	1.9528
1.96025143	1.97	1.97	1.97	1.97	1.97	1.97	1.96958	1.97001	1.97	1.97	1.95286
1.980125715	1.97	1.97	1.97	1.97	1.97	1.97	1.96958	1.97001	1.97	1.97	1.95292
2	1.97	1.97	1.97	1.97	1.97	1.97	1.96958	1.97001	1.97	1.97	1.95297
2.020724651	1.97001	1.97	1.97	1.97	1.97	1.96999	1.96958	1.97001	1.97	1.97	1.95302
2.039314361	1.97001	1.97	1.97	1.97	1.97	1.96999	1.96959	1.97001	1.97	1.97	1.95307
2.0594728	1.97001	1.97	1.97	1.97	1.97	1.96999	1.96959	1.97001	1.97	1.97	1.95311
2.079330709	1.97002	1.97	1.97	1.97	1.97	1.96999	1.9696	1.97001	1.97	1.97	1.95315
